NAV DATE|CB CODE|FUND CODE|NAV_PER_UNIT|NAV|30 DAYS PERFORMANCE (%)|LAST 1 YEAR PERFORMANCE (%)|LAST 1 YEAR REAL PERFORMANCE (%)|OUTSTANDING UNIT|NOTES|REVISION
20221122|BSM01|AAM01MMSSHIMMF00|1016.850000|12607246855.80|0.23|0.86|0.86|12398333.6640||
20221122|BSM01|ANA02MMSAPUSPY00|1021.590000|10310652073.08|0.23|0.00|0.00|10092729.1229||
20221122|BSM01|DH002DFSAMADEI00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSARIESA00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSARTHUR00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSELKAJA00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSFENNYL00|1005.311300|6232930225.97|0.64|0.00|0.00|6200000.0000||
20221122|BSM01|DH002DFSHELENN00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSHENRYZ00|1005.853300|5029266423.26|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSIVANHI00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSKUNAJA00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSKWEELI00|1005.360500|10053605052.61|0.64|0.00|0.00|10000000.0000||
20221122|BSM01|DH002DFSLILYAR00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSMELDAA00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSRICARD00|1005.392300|20107846287.95|0.64|0.00|0.00|20000000.0000||
20221122|BSM01|DH002DFSSHINTA00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSSONSUM00|1006.036300|51810869563.94|0.64|0.00|0.00|51500000.0000||
20221122|BSM01|DH002DFSSRIIKA00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSSUGANA00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSTANILI00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|DH002DFSTIRTOA00|1005.373600|12667707301.54|0.64|0.00|0.00|12600000.0000||
20221122|BSM01|DH002DFSVELZON00|1005.333100|7037331996.66|0.64|0.00|0.00|7000000.0000||
20221122|BSM01|DH002DFSVIKTOR00|1005.366300|11059029404.60|0.64|0.00|0.00|11000000.0000||
20221122|BSM01|DH002DFSVIVIAN00|1005.329100|6735704691.06|0.64|0.00|0.00|6700000.0000||
20221122|BSM01|DH002DFSWELLYS00|1005.228800|5026143934.08|0.63|0.00|0.00|5000000.0000||
20221122|BSM01|GAMA2MMSRSSSLB00|1007.540000|10504820299.79|0.04|0.22|0.22|10426182.6270||
20221122|BSM01|SYA02MMSSSMMF202|999.680000|996631323.18|-0.22|-0.16|-0.16|996954.5961||
20221122|BSM01|TP002MMSADKSAS00|1006.270000|4039744368.29|0.14|0.00|0.00|4014570.7355||
20221122|BSM01|TP002MMSADKSRY00|0.000000|0.00|0.00|0.00|0.00|0.0000||
20221122|BSM01|TP002MMSADKSYE00|0.000000|563975.62|-100.00|-100.00|-100.00|0.0000||
20221122|BSM01|TP002MMSAKSYIN00|1008.080000|100359772292.66|0.30|0.00|0.00|99554989.1983||
20221122|BSM01|TP002MMSAVALSY00|1106.550000|219652034444.85|0.28|2.46|2.46|198502513.0863||
20221122|BSM01|TP002PFSSAPTSB04|1039.310000|43090897503.45|1.23|10.55|10.55|41460886.2556||
20221122|BSM01|TP002PFSSAPTSB05|1015.440000|27001553962.27|1.31|0.00|0.00|26591088.6163||
20221122|BSM01|ZG002FISPPRIFS00|1022.040000|3534806520.58|1.01|-2.41|-2.41|3458566.8549||
20221122|BSM01|ZG002MMSCPCFSY02|1035.490000|13059763847.52|0.22|1.35|1.35|12612110.1713||
