,,,,LEDGER TRANSACTION REPORT ,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Fund Manager,:,PT. SINARMAS ASSET MANAGEMENT,,,,Print Date,:,19-Nov-2022,,
Custodian Bank,:,"PT. BANK SYARIAH INDONESIA, TBK",,,,Print Time,:,12:09:13 AM,,
Fund Name,:,KPD SHINTA WIDJAJA,,,,,,,,
Fund Type,:,DISCRETIONARY FUND,,,,,,,,
Period,:,17-Nov-2022,,To,18-Nov-2022,,,,,
Currency,:,IDR,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,:,,,,,,,,,
COA ,,1010101 - CASH AT BANK,,,,Category,:,ASSET,,
,:,,,,,,,,,
Beginning Balance,,"4,569,890.00",,,,,,,,
Date,Journal #,Description,,Subledger,Debit,Credit,Reference,Remarks,,
18-Nov-2022,-,-,,-,0.00,0.00,-,,,
,,,,,0.00,0.00,,,,
Ending Balance,:,"4,569,890.00",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,:,,,,,,,,,
COA ,,1020204 - INVESTMENT - SYARIAH CORPORATE BOND,,,,Category,:,ASSET,,
,:,,,,,,,,,
Beginning Balance,,"5,000,000,000.00",,,,,,,,
Date,Journal #,Description,,Subledger,Debit,Credit,Reference,Remarks,,
18-Nov-2022,-,-,,-,0.00,0.00,-,,,
,,,,,0.00,0.00,,,,
Ending Balance,:,"5,000,000,000.00",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,:,,,,,,,,,
COA ,,1030204 - PROFIT SHARING RECEIVABLE (ACCRUAL) - SYARIAH CORPORATE BOND,,,,Category,:,ASSET,,
,:,,,,,,,,,
Beginning Balance,,"23,156,250.01",,,,,,,,
Date,Journal #,Description,,Subledger,Debit,Credit,Reference,Remarks,,
17-Nov-2022,2690770,REV: ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,0.00,"25,729,166.68",4307-trd-total-13953,REVERSAL,,
17-Nov-2022,2690771,REV: TAX ON ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,"2,572,916.67",0.00,4307-trd-total-13953,REVERSAL,,
17-Nov-2022,2690773,ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,"27,083,333.33",0.00,4307-trd-total-13953,,,
17-Nov-2022,2690774,TAX ON ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,0.00,"2,708,333.33",4307-trd-total-13953,,,
18-Nov-2022,2697817,REV: ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,0.00,"27,083,333.33",4307-trd-total-13953,REVERSAL,,
18-Nov-2022,2697818,REV: TAX ON ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,"2,708,333.33",0.00,4307-trd-total-13953,REVERSAL,,
18-Nov-2022,2697820,ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,"28,437,500.00",0.00,4307-trd-total-13953,,,
18-Nov-2022,2697821,TAX ON ACCRUED PROFIT SHARING OF SUKUK,,SMOPPM01,0.00,"2,843,750.00",4307-trd-total-13953,,,
,,,,,"60,802,083.33","58,364,583.34",,,,
Ending Balance,:,"25,593,750.00",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,:,,,,,,,,,
COA ,,2010203 - PAYABLE - MANAGEMENT FEE,,,,Category,:,LIABILITY,,
,:,,,,,,,,,
Beginning Balance,,"7,038,913.51",,,,,,,,
Date,Journal #,Description,,Subledger,Debit,Credit,Reference,Remarks,,
17-Nov-2022,2690775,MANAGEMENT FEE ACCRUAL,,MGT FEE-DH002DFSSHINTA00,0.00,"148,841.57",75,MGT FEE-DH002DFSSHINTA00-27072022-27072099,,
18-Nov-2022,2697822,MANAGEMENT FEE ACCRUAL,,MGT FEE-DH002DFSSHINTA00,0.00,"148,872.74",75,MGT FEE-DH002DFSSHINTA00-27072022-27072099,,
,,,,,0.00,"297,714.31",,,,
Ending Balance,:,"7,336,627.82",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,:,,,,,,,,,
COA ,,2010204 - PAYABLE - CUSTODIAN FEE,,,,Category,:,LIABILITY,,
,:,,,,,,,,,
Beginning Balance,,"774,424.76",,,,,,,,
Date,Journal #,Description,,Subledger,Debit,Credit,Reference,Remarks,,
17-Nov-2022,2690776,CUSTODIAN FEE ACCRUAL,,CUSFEE-DH002DFSSHINTA00,0.00,"13,739.22",78,CUSFEE-DH002DFSSHINTA00-27072022-27072099,,
18-Nov-2022,2697823,CUSTODIAN FEE ACCRUAL,,CUSFEE-DH002DFSSHINTA00,0.00,"13,742.10",78,CUSFEE-DH002DFSSHINTA00-27072022-27072099,,
,,,,,0.00,"27,481.32",,,,
Ending Balance,:,"801,906.08",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,:,,,,,,,,,
