DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221031,FR0037,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0037, 115.935385 , 116.195385 , 116.455385 , 0.2600 
20221031,FR0039,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0039, 104.320231 , 104.520231 , 104.720231 , 0.2000 
20221031,FR0040,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0040, 110.031996 , 110.256996 , 110.481996 , 0.2250 
20221031,FR0042,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0042, 111.536406 , 111.796406 , 112.056406 , 0.2600 
20221031,FR0044,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0044, 105.386714 , 105.611714 , 105.836714 , 0.2250 
20221031,FR0045,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0045, 118.244625 , 118.544625 , 118.844625 , 0.3000 
20221031,FR0046,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0046, 102.424021 , 102.624021 , 102.824021 , 0.2000 
20221031,FR0047,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0047, 111.340143 , 111.600143 , 111.860143 , 0.2600 
20221031,FR0050,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0050, 125.804761 , 126.104761 , 126.404761 , 0.3000 
20221031,FR0052,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0052, 116.643750 , 116.943750 , 117.243750 , 0.3000 
20221031,FR0054,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0054, 111.938097 , 112.238097 , 112.538097 , 0.3000 
20221031,FR0056,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0056, 103.546682 , 103.806682 , 104.066682 , 0.2600 
20221031,FR0057,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0057, 116.775667 , 117.075667 , 117.375667 , 0.3000 
20221031,FR0058,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0058, 104.213689 , 104.513689 , 104.813689 , 0.3000 
20221031,FR0059,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0059, 98.892533 , 99.152533 , 99.412533 , 0.2600 
20221031,FR0062,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0062, 89.279333 , 89.579333 , 89.879333 , 0.3000 
20221031,FR0063,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0063, 99.985842 , 100.185842 , 100.385842 , 0.2000 
