SENDER|PRICE DATE|PROFIL MI|CODE BASE SEC|SEC DSC|IBPA PRICE|MI PRICE|UPPER PRICE|LOWER PRICE|REASON
IBPA|20221103|AAM01|ADMF04CCN5|OBLIGASI BERKELANJUTAN IV ADIRA FINANCE TAHAP V TAHUN 2019 SERI C|103.089598|103.089598|104.389598|101.789598|
IBPA|20221103|AAM01|ASDF04CCN2|OBLIGASI BERKELANJUTAN IV ASTRA SEDAYA FINANCE TAHAP II TAHUN 2019 SERI C|102.967887|102.967887|104.267887|101.667887|
IBPA|20221103|AAM01|BMTR03ACN1|OBLIGASI BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI A|100.879889|100.014072|102.079889|99.679889|
IBPA|20221103|AAM01|BMTR03ACN2|OBLIGASI BERKELANJUTAN III GLOBAL MEDIACOM TAHAP II TAHUN 2022 SERI A|99.866375|99.866375|101.066375|98.666375|
IBPA|20221103|AAM01|BVIC02SBCN1|OBLIGASI SUBORDINASI BERKELANJUTAN II BANK VICTORIA TAHAP I TAHUN 2019|100.135674|100.135674|102.635674|97.635674|
IBPA|20221103|AAM01|FR0056|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0056|104.059241|104.059241|104.319241|103.799241|
IBPA|20221103|AAM01|FR0059|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0059|99.150000|99.150000|99.410000|98.890000|
IBPA|20221103|AAM01|FR0065|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0065|92.752078|92.752078|93.080596|92.423561|
IBPA|20221103|AAM01|FR0068|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0068|105.753571|105.753571|106.082089|105.425054|
IBPA|20221103|AAM01|FR0070|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0070|102.269917|102.269917|102.494917|102.044917|
IBPA|20221103|AAM01|FR0071|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0071|108.205628|108.205628|108.505628|107.905628|
IBPA|20221103|AAM01|FR0072|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0072|105.022200|105.022200|105.350718|104.693682|
IBPA|20221103|AAM01|FR0075|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0075|99.625491|99.625491|99.954009|99.296974|
IBPA|20221103|AAM01|FR0076|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0076|97.627143|97.627143|97.955661|97.298625|
IBPA|20221103|AAM01|FR0078|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0078|104.479919|104.479919|104.779919|104.179919|
IBPA|20221103|AAM01|FR0080|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0080|99.693603|99.693603|100.022121|99.365085|
IBPA|20221103|AAM01|FR0081|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0081|99.104545|99.104545|99.329545|98.879545|
IBPA|20221103|AAM01|FR0082|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0082|97.736875|97.736875|98.036875|97.436875|
IBPA|20221103|AAM01|FR0083|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0083|98.876372|98.876372|99.204890|98.547854|
IBPA|20221103|AAM01|FR0086|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0086|95.559298|95.559298|95.819298|95.299298|
IBPA|20221103|AAM01|FR0087|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0087|94.271500|94.271500|94.571500|93.971500|
IBPA|20221103|AAM01|FR0090|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0090|92.926438|92.926438|93.186438|92.666438|
IBPA|20221103|AAM01|IFR0006|SBSN SERI IFR0006|119.536461|119.536461|119.836461|119.236461|
IBPA|20221103|AAM01|INKP01BCN3|OBLIGASI BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2020 SERI B|102.599569|102.599569|104.199569|100.999569|
IBPA|20221103|AAM01|INKP02ACN2|OBLIGASI BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP II TAHUN 2021 SERI A|100.123914|100.000000|101.323914|98.923914|
IBPA|20221103|AAM01|INKP02ACN3|OBLIGASI BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI A|99.928996|100.000000|101.128996|98.728996|
IBPA|20221103|AAM01|LPPI01ACN2|OBLIGASI BERKELANJUTAN I LONTAR PAPYRUS PULP & PAPER INDUSTRY TAHAP II TAHUN 2022 SERI A|99.433289|100.000000|100.633289|98.233289|
IBPA|20221103|AAM01|MDKA03ACN1|OBLIGASI BERKELANJUTAN III MERDEKA COPPER GOLD TAHAP I TAHUN 2022 SERI A|100.722214|100.178376|101.922214|99.522214|
IBPA|20221103|AAM01|OPPM02A|OBLIGASI OKI PULP & PAPER MILLS II TAHUN 2022 SERI A|101.209998|100.636674|102.409998|100.009998|
IBPA|20221103|AAM01|OPPM11XXMF|MTN OKI PULP & PAPER MILLS XI TAHUN 2021||100.000000|||
IBPA|20221103|AAM01|OPPM12XXMF|MTN OKI PULP & PAPER MILLS XII TAHUN 2020||100.000000|||
IBPA|20221103|AAM01|OTMA03C|OBLIGASI III OTO MULTIARTHA TAHUN 2019 SERI C|103.121726|103.121726|104.421726|101.821726|
IBPA|20221103|AAM01|PBS004|SBSN SERI PBS004|94.558519|94.558519|94.887037|94.230001|
