SENDER|PRICE DATE|PROFIL MI|CODE BASE SEC|SEC DSC|IBPA PRICE|MI PRICE|UPPER PRICE|LOWER PRICE|REASON
IBPA|20221121|AAM01|ADMF04CCN5|OBLIGASI BERKELANJUTAN IV ADIRA FINANCE TAHAP V TAHUN 2019 SERI C|103.420472|103.420472|104.720472|102.120472|
IBPA|20221121|AAM01|ASDF04CCN2|OBLIGASI BERKELANJUTAN IV ASTRA SEDAYA FINANCE TAHAP II TAHUN 2019 SERI C|103.243797|103.243797|104.543797|101.943797|
IBPA|20221121|AAM01|BMTP01BCN1|OBLIGASI BERKELANJUTAN I BANK MANDIRI TASPEN TAHAP I TAHUN 2019 SERI B|100.638367|101.900000|101.938367|99.338367|
IBPA|20221121|AAM01|BMTR03ACN1|OBLIGASI BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI A|100.998868|100.013075|102.198868|99.798868|
IBPA|20221121|AAM01|BMTR03ACN2|OBLIGASI BERKELANJUTAN III GLOBAL MEDIACOM TAHAP II TAHUN 2022 SERI A|100.185798|100.185798|101.385798|98.985798|
IBPA|20221121|AAM01|BVIC02SBCN1|OBLIGASI SUBORDINASI BERKELANJUTAN II BANK VICTORIA TAHAP I TAHUN 2019|100.709466|100.709466|103.209466|98.209466|
IBPA|20221121|AAM01|FR0056|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0056|104.988873|104.988873|105.248873|104.728873|
IBPA|20221121|AAM01|FR0059|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0059|100.228248|100.228248|100.488248|99.968248|
IBPA|20221121|AAM01|FR0065|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0065|94.981206|94.981206|95.281206|94.681206|
IBPA|20221121|AAM01|FR0068|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0068|107.093167|107.093167|107.393167|106.793167|
IBPA|20221121|AAM01|FR0070|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0070|102.661104|102.661104|102.886104|102.436104|
IBPA|20221121|AAM01|FR0071|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0071|109.631750|109.631750|109.931750|109.331750|
IBPA|20221121|AAM01|FR0072|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0072|106.959783|106.959783|107.259783|106.659783|
IBPA|20221121|AAM01|FR0075|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0075|101.337139|101.337139|101.637139|101.037139|
IBPA|20221121|AAM01|FR0076|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0076|99.772286|99.772286|100.072286|99.472286|
IBPA|20221121|AAM01|FR0078|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0078|105.902125|105.902125|106.202125|105.602125|
IBPA|20221121|AAM01|FR0080|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0080|101.675000|101.675000|101.975000|101.375000|
IBPA|20221121|AAM01|FR0081|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0081|99.566299|99.566299|99.791299|99.341299|
IBPA|20221121|AAM01|FR0082|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0082|99.082099|99.082099|99.382099|98.782099|
IBPA|20221121|AAM01|FR0083|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0083|101.394808|101.394808|101.694808|101.094808|
IBPA|20221121|AAM01|FR0086|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0086|96.079492|96.079492|96.339492|95.819492|
IBPA|20221121|AAM01|FR0087|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0087|96.056500|96.056500|96.356500|95.756500|
IBPA|20221121|AAM01|FR0090|OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0090|93.691524|93.691524|93.951524|93.431524|
IBPA|20221121|AAM01|IFR0006|SBSN SERI IFR0006|120.241837|120.241837|120.541837|119.941837|
IBPA|20221121|AAM01|INKP01BCN3|OBLIGASI BERKELANJUTAN I INDAH KIAT PULP & PAPER TAHAP III TAHUN 2020 SERI B|102.864640|102.864640|104.464640|101.264640|
IBPA|20221121|AAM01|INKP02ACN2|OBLIGASI BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP II TAHUN 2021 SERI A|100.047575|100.000000|101.247575|98.847575|
IBPA|20221121|AAM01|INKP02ACN3|OBLIGASI BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP III TAHUN 2022 SERI A|99.926318|100.000000|101.126318|98.726318|
IBPA|20221121|AAM01|INKP02BCN1|OBLIGASI BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP I TAHUN 2021 SERI B|101.958248|102.100000|103.558248|100.358248|
IBPA|20221121|AAM01|LPPI01ACN2|OBLIGASI BERKELANJUTAN I LONTAR PAPYRUS PULP & PAPER INDUSTRY TAHAP II TAHUN 2022 SERI A|99.598007|100.000000|100.798007|98.398007|
IBPA|20221121|AAM01|MDKA03ACN1|OBLIGASI BERKELANJUTAN III MERDEKA COPPER GOLD TAHAP I TAHUN 2022 SERI A|100.618876|100.154052|101.818876|99.418876|
IBPA|20221121|AAM01|OPPM02A|OBLIGASI OKI PULP & PAPER MILLS II TAHUN 2022 SERI A|101.095524|100.564063|102.295524|99.895524|
IBPA|20221121|AAM01|OPPM11XXMF|MTN OKI PULP & PAPER MILLS XI TAHUN 2021||100.000000|||
IBPA|20221121|AAM01|OPPM12XXMF|MTN OKI PULP & PAPER MILLS XII TAHUN 2020||100.000000|||
IBPA|20221121|AAM01|OTMA03C|OBLIGASI III OTO MULTIARTHA TAHUN 2019 SERI C|103.527178|103.527178|104.827178|102.227178|
IBPA|20221121|AAM01|PBS004|SBSN SERI PBS004|95.921315|95.921315|96.221315|95.621315|
IBPA|20221121|AAM01|PBS005|SBSN SERI PBS005|99.946147|99.946147|100.246147|99.646147|
IBPA|20221121|AAM01|PBS011|SBSN SERI PBS011|102.090230|102.090230|102.290230|101.890230|
IBPA|20221121|AAM01|PBS012|SBSN SERI PBS012|113.195881|113.195881|113.495881|112.895881|
IBPA|20221121|AAM01|PBS015|SBSN SERI PBS015|109.996924|109.996924|110.296924|109.696924|
IBPA|20221121|AAM01|PBS019|SBSN SERI PBS019|102.085742|102.085742|102.285742|101.885742|
IBPA|20221121|AAM01|PBS022|SBSN SERI PBS022|110.894692|110.894692|111.194692|110.594692|
IBPA|20221121|AAM01|PBS025|SBSN SERI PBS025|108.169977|108.169977|108.469977|107.869977|
IBPA|20221121|AAM01|PBS027|SBSN SERI PBS027|100.487766|100.487766|100.687766|100.287766|
IBPA|20221121|AAM01|PBS029|SBSN SERI PBS029|90.709915|90.709915|91.009915|90.409915|
IBPA|20221121|AAM01|SIAGII02CCN3|SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI C|105.659651|105.659651|107.659651|103.659651|
IBPA|20221121|AAM01|SIBMTR03ACN1|SUKUK IJARAH BERKELANJUTAN III GLOBAL MEDIACOM TAHAP I TAHUN 2022 SERI A|100.615494|100.000000|101.815494|99.415494|
IBPA|20221121|AAM01|SIEXCL02ECN1|SUKUK IJARAH BERKELANJUTAN II XL AXIATA TAHAP I TAHUN 2018 SERI E|112.312464|112.312464|113.912464|110.712464|
IBPA|20221121|AAM01|SIISAT01ECN2|SUKUK IJARAH BKLJT I INDOSAT THP II TH 2015 SERI E|107.669507|107.669507|108.969507|106.369507|
IBPA|20221121|AAM01|SIMORA01ACN3|SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP III TAHUN 2020 SERI A|102.693134|102.693134|103.893134|101.493134|
IBPA|20221121|AAM01|SIMORA01BCN1|SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP I TAHUN 2019 SERI B|105.090138|105.090138|106.690138|103.490138|
IBPA|20221121|AAM01|SIMORA01BCN2|SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP II TAHUN 2020 SERI B|106.826942|106.826942|108.426942|105.226942|
IBPA|20221121|AAM01|SIMORA01BCN3|SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP III TAHUN 2020 SERI B|107.073752|107.073752|108.673752|105.473752|
IBPA|20221121|AAM01|SIPPLN02CCN2|SUKUK IJARAH BKLJT II PLN THP II TAHUN 2017 SERI C|104.435701|104.435701|106.035701|102.835701|
IBPA|20221121|AAM01|SIPPLN03ECN4|SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI E|114.102341|114.102341|115.702341|112.502341|
IBPA|20221121|AAM01|SIPPLN03ECN5|SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI E|107.204602|107.204602|108.804602|105.604602|
IBPA|20221121|AAM01|SISGRO01BCN2|SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP II TAHUN 2021 SERI B|103.975278|103.975278|105.975278|101.975278|
IBPA|20221121|AAM01|SMBRIS01SB|SUK MDRBH SUBORDINASI I BANK BRISYARIAH TAHUN 2016|101.696680|101.696680|102.896680|100.496680|
IBPA|20221121|AAM01|SMGR01ACN2|OBLIGASI BERKELANJUTAN I SEMEN INDONESIA TAHAP II TAHUN 2019 SERI A|103.508654|103.508654|104.808654|102.208654|
IBPA|20221121|AAM01|SMLPPI01B|SUKUK MUDHARABAH LONTAR PAPYRUS PULP & PAPER INDUSTRY I TAHUN 2018 SERI B|102.769609|102.769609|103.969609|101.569609|
IBPA|20221121|AAM01|SMMA01BCN2|OBLIGASI BERKELANJUTAN I SINAR MAS MULTIARTHA TAHAP II TAHUN 2020 SERI B|105.992772|105.992772|107.292772|104.692772|
IBPA|20221121|AAM01|SMPIDL01A23|SUKUK MUDHARABAH I PINDO DELI PULP AND PAPER MILLS TAHUN 2022 SERI A|100.321959|100.014081|101.521959|99.121959|
IBPA|20221121|AAM01|SMPTHK01CCN1|SUKUK MUDHARABAH BERKELANJUTAN I HUTAMA KARYA TAHAP I TAHUN 2021 SERI C|103.679810|103.679810|105.279810|102.079810|
IBPA|20221121|AAM01|SMWIKA02CCN1|SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP I TAHUN 2021 SERI C|98.948779|98.948779|100.948779|96.948779|
IBPA|20221121|AAM01|WOOD01BCN1|OBLIGASI BERKELANJUTAN I INTEGRA INDOCABINET TAHAP I TAHUN 2021 SERI B|102.515653|102.515653|104.115653|100.915653|
IBPA|20221121|GAMA2|ADCP01B|OBLIGASI I ADHI COMMUTER PROPERTI TAHUN 2021 SERI B|100.254644|102.254644|102.254644|98.254644|
IBPA|20221121|GAMA2|ADCP02A|OBLIGASI II ADHI COMMUTER PROPERTI TAHUN 2022 SERI A|100.192141|101.692141|101.692141|98.692141|
IBPA|20221121|GAMA2|ADCP02B|OBLIGASI II ADHI COMMUTER PROPERTI TAHUN 2022 SERI B|99.539867|101.539867|101.539867|97.539867|
IBPA|20221121|GAMA2|ADHI02BCN2|OBLIGASI BERKELANJUTAN II ADHI KARYA TAHAP II TAHUN 2019 SERI B|100.880744|102.480744|102.480744|99.280744|
IBPA|20221121|GAMA2|ADHI03ACN3|OBLIGASI BERKELANJUTAN III ADHI KARYA TAHAP III TAHUN 2022 SERI A|97.293217|98.893217|98.893217|95.693217|
IBPA|20221121|GAMA2|ADHI03BCN2|OBLIGASI BERKELANJUTAN III ADHI KARYA TAHAP II TAHUN 2021 SERI B|100.417147|102.017147|102.017147|98.817147|
IBPA|20221121|GAMA2|ADHI03CN1|OBLIGASI BERKELANJUTAN III ADHI KARYA TAHAP I TAHUN 2020|101.196475|102.396475|102.396475|99.996475|
IBPA|20221121|GAMA2|ADMF04CCN4|OBLIGASI BERKELANJUTAN IV ADIRA FINANCE TAHAP IV TAHUN 2019 SERI C|103.561736|102.261736|104.861736|102.261736|
IBPA|20221121|GAMA2|ADMF04DCN2|OBL BKLJT IV ADIRA FINANCE THP II TH 2018 SERI D|100.855665|101.855665|101.855665|99.855665|
IBPA|20221121|GAMA2|ADMF04ECN3|OBLIGASI BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2018 SERI E|102.668400|103.668400|103.668400|101.668400|
IBPA|20221121|GAMA2|ADMF05BCN1|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP I TAHUN 2020 SERI B|101.409817|102.409817|102.409817|100.409817|
IBPA|20221121|GAMA2|ADMF05BCN2|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2021 SERI B|97.880542|99.180542|99.180542|96.580542|
IBPA|20221121|GAMA2|ADMF05BCN3|OBLIGASI BERKELANJUTAN V ADIRA FINANCE TAHAP III TAHUN 2022 SERI B|98.801557|97.501557|100.101557|97.501557|
IBPA|20221121|GAMA2|AGII02ACN4|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI A|98.884845|100.484845|100.484845|97.284845|
IBPA|20221121|GAMA2|AGII02BCN3|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI B|101.026520|102.626520|102.626520|99.426520|
IBPA|20221121|GAMA2|AGII02CCN3|OBLIGASI BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI C|105.659651|105.659651|107.659651|103.659651|
IBPA|20221121|GAMA2|APAI01ACN1|OBLIGASI BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI A|99.470145|99.470145|100.770145|98.170145|
IBPA|20221121|GAMA2|APAI01BCN1|OBLIGASI BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI B|98.826931|97.226931|100.426931|97.226931|
IBPA|20221121|GAMA2|APIA01B|OBLIGASI I ANGKASA PURA II TAHUN 2016 SERI B|101.782462|102.782462|102.782462|100.782462|
IBPA|20221121|GAMA2|ASDF04BCN4|OBLIGASI BERKELANJUTAN IV ASTRA SEDAYA FINANCE TAHAP IV TAHUN 2020 SERI B|100.716835|101.716835|101.716835|99.716835|
IBPA|20221121|GAMA2|ASDF05ACN4|OBLIGASI BERKELANJUTAN V ASTRA SEDAYA FINANCE TAHAP IV TAHUN 2022 SERI A|99.468093|100.468093|100.468093|98.468093|
